"","submission_date","n_countries_GISAID","n_seq_GISAID"
"1",2021-11-22,1,1
"2",2021-11-23,3,11
"3",2021-11-24,3,12
"4",2021-11-25,3,76
"5",2021-11-26,4,99
"6",2021-11-27,6,135
"7",2021-11-28,9,152
"8",2021-11-29,15,197
"9",2021-11-30,18,231
"10",2021-12-01,21,322
"11",2021-12-02,27,353
"12",2021-12-03,29,489
"13",2021-12-04,33,530
"14",2021-12-05,34,576
"15",2021-12-06,40,668
"16",2021-12-07,41,843
"17",2021-12-08,41,1118
"18",2021-12-09,43,1463
"19",2021-12-10,46,1791
"20",2021-12-11,49,2419
"21",2021-12-12,50,2785
"22",2021-12-13,52,3598
"23",2021-12-14,56,4690
"24",2021-12-15,60,5561
"25",2021-12-16,64,6909
